n,single time,two time,four time,eight time,sixteen time,thirty two time
381,189482,196143,187259,187912,193936,231518,2.30621e+06
382,190383,219299,202268,203415,199770,220661,2.43044e+06
383,215401,212939,192035,199178,224061,228437,2.39298e+06
384,220887,203780,199109,188938,226594,214613,2.37931e+06
385,202271,198410,198284,196321,197646,211284,2.41751e+06
386,193195,200198,193012,206322,220765,240013,2.34444e+06
387,199668,213372,201880,205644,209694,229283,2.3904e+06
388,200214,197838,203567,218397,246065,226718,2.39884e+06
389,204006,232276,207034,218891,245966,228138,2.36812e+06
390,200214,207289,205957,199814,207125,223356,2.43899e+06
391,198052,222496,213614,228648,210610,212001,2.43603e+06
392,199689,211662,204409,204594,231613,220235,2.419e+06
393,203177,213078,212662,220582,228944,230178,2.42684e+06
394,217799,214076,213929,209767,221779,228159,2.48062e+06
395,206485,255362,205030,231763,215383,225291,2.4303e+06
396,208428,216119,213141,213032,227543,221579,2.43348e+06
397,207687,208152,209941,221608,244694,231089,2.43772e+06
398,209029,212044,206976,212040,216425,217512,2.4724e+06
399,257574,220529,216879,218596,220072,225396,2.49326e+06
400,214092,219711,215813,220106,246790,226495,2.49157e+06
401,224786,224946,216104,219093,222095,225750,2.50288e+06
402,214532,222953,219457,220144,223114,223428,2.52333e+06
403,221255,235179,238800,238522,242854,230047,2.54715e+06
404,220397,223008,221217,223896,226975,228064,2.53182e+06
405,217889,228355,226109,226876,226116,227900,2.55107e+06
406,221067,226821,226365,226450,224917,231434,2.55013e+06
407,229687,230984,225461,227791,228141,230625,2.56418e+06
408,227815,229935,227030,231159,230354,231860,2.5944e+06
409,226177,233122,224623,224126,226770,233237,2.61288e+06
410,229179,231131,226322,224301,234627,241198,2.60724e+06
411,230713,233939,230188,234823,233106,238834,2.62196e+06
412,231502,240561,238416,234437,238090,238192,2.63938e+06
413,236633,241546,235026,236144,239503,242788,2.65783e+06
414,233871,233177,233981,236605,242333,241198,2.68357e+06
415,236795,240496,238899,243454,247351,244525,2.67427e+06
416,255327,240889,236239,235038,238683,242069,2.6874e+06
417,242529,248766,239127,237771,242648,251825,2.70548e+06
418,248528,248215,243259,241415,244012,250675,2.73312e+06
419,309820,267409,278516,349022,307836,322055,2.86497e+06
420,280817,258728,314147,277585,262617,270226,2.97028e+06
421,267204,301181,257576,267624,273196,278315,2.97484e+06
422,321844,351242,339721,343689,329986,310558,3.13268e+06
423,278036,278401,263114,257387,280239,282893,3.12304e+06
424,266219,275467,267145,259750,270997,265266,3.05297e+06
425,284274,273692,283357,285209,273989,265066,2.86712e+06
426,256943,264325,263788,265587,263001,266970,2.86779e+06
427,266006,264656,264905,261738,266788,266953,2.87551e+06
428,259485,270080,265467,270644,263163,274680,2.86264e+06
429,268192,269659,273803,268931,276699,269481,2.91331e+06
430,255149,278301,265066,270880,269069,269689,2.90576e+06
431,270443,269173,272731,270273,274789,270569,2.93522e+06
432,285447,281928,273140,277700,278380,279086,2.95126e+06
433,291651,282733,288126,277309,313842,289218,2.97293e+06
434,314222,304481,317185,304215,347799,314532,3.13975e+06
435,281546,278008,271605,273439,280623,283742,3.01588e+06
436,279327,283446,280209,286622,292114,292462,3.01607e+06
437,279005,294827,289347,285283,276461,285386,3.03739e+06
438,278111,289560,280777,285998,292635,297143,3.03545e+06
439,283307,290914,281952,284613,288790,293831,3.04756e+06
440,288708,289036,290926,287975,293433,298193,3.05198e+06
441,287344,286799,282969,295171,296759,305556,3.06962e+06
442,288112,297193,291774,292469,296239,299280,3.08997e+06
443,307829,293888,294624,288427,298373,299604,3.10272e+06
444,300507,296424,298234,305065,300100,302460,3.1069e+06
445,294129,303216,295670,294841,302325,305607,3.1426e+06
446,295251,318760,293117,294557,301321,302189,3.176e+06
447,332054,307415,321634,308529,310797,314889,3.12712e+06
