n,single time,two time,muti time
484,444572,431630,4.19103e+06
485,452858,462106,4.0125e+06
486,438974,457630,3.94018e+06
487,432499,437907,4.03399e+06
488,439502,435687,3.88649e+06
489,476003,451882,3.84369e+06
490,454862,463740,4.0665e+06
491,493112,472098,4.06399e+06
492,471410,506209,4.27382e+06
493,448646,449715,4.28826e+06
494,442979,463176,4.04519e+06
495,454372,457799,4.00984e+06
496,455794,459030,4.04326e+06
497,463262,479620,4.0571e+06
498,502465,502163,4.0873e+06
499,478947,470925,4.2616e+06
500,509718,471737,4.25675e+06
501,611388,537488,4.63591e+06
502,482674,527236,4.30639e+06
503,493063,515732,4.1504e+06
504,471206,467714,4.44764e+06
505,540947,503847,4.17995e+06
506,502817,505690,4.49109e+06
507,491785,535159,4.19577e+06
508,490846,480107,4.23954e+06
509,512733,491544,4.1763e+06
510,478810,480634,4.21935e+06
511,485251,494871,4.18353e+06
512,494015,487538,4.24133e+06
513,518819,512169,4.31542e+06
514,625305,554618,4.48666e+06
515,529764,525845,4.56935e+06
516,508546,527660,4.33075e+06
517,505777,525048,4.45289e+06
518,529577,517191,4.4264e+06
519,541351,573453,4.63052e+06
520,566147,647946,4.55358e+06
521,595276,617475,4.7066e+06
522,550404,560842,4.54035e+06
523,597182,568472,4.6571e+06
524,570744,565696,4.50045e+06
525,534301,535927,4.48899e+06
526,554452,565007,4.5512e+06
527,580546,601567,4.55944e+06
528,593617,626788,5.12967e+06
529,689171,693206,5.41009e+06
530,685418,670813,5.21321e+06
531,597120,580376,4.76424e+06
532,584203,622376,4.82539e+06
533,593193,591457,4.83936e+06
534,564353,572971,4.80454e+06
535,571630,577816,4.65447e+06
536,592239,687161,4.71993e+06
537,582023,598693,4.92052e+06
538,580696,594941,4.69154e+06
539,629784,602360,4.86375e+06
540,615036,654205,5.01262e+06
541,669096,724026,5.24294e+06
542,666551,645170,5.10892e+06
543,659115,734665,5.09653e+06
544,631024,654828,4.95486e+06
545,652383,665274,4.98662e+06
546,714479,755560,5.4284e+06
547,721607,715499,5.25276e+06
548,667416,675566,5.22806e+06
549,644142,669330,5.19861e+06
550,648986,649321,5.01833e+06
551,654033,662838,5.03705e+06
552,625402,673742,5.00663e+06
553,673505,664329,5.03056e+06
554,716604,687664,5.17534e+06
555,705842,721886,5.30704e+06
556,715147,703813,5.32958e+06
557,710083,714115,5.36143e+06
558,706825,711018,5.36286e+06
559,719383,720208,5.38431e+06
560,753614,731901,5.37362e+06
561,724074,744070,5.43788e+06
562,743391,746700,5.42991e+06
563,732694,739274,5.49691e+06
564,733847,746338,5.45155e+06
565,735579,744121,5.47195e+06
566,756610,746106,5.4649e+06
567,817830,793181,5.55831e+06
568,767328,769538,5.54714e+06
569,777192,758778,5.56926e+06
570,770279,804167,5.61655e+06
571,775812,776731,5.66833e+06
572,789492,771542,5.63204e+06
573,770938,775956,5.70431e+06
574,789336,795150,5.68049e+06
575,776596,789249,5.76254e+06
576,791380,792710,5.74366e+06
577,806198,812214,5.81887e+06
578,797387,816038,5.74233e+06
579,809645,819284,5.74532e+06
580,812388,819943,5.80889e+06
581,817235,819074,5.84854e+06
582,829948,825549,5.8258e+06
583,835142,829458,5.84236e+06
584,827346,834838,5.9267e+06
585,835540,840812,5.8996e+06
586,831951,858472,5.91706e+06
587,837730,840407,5.95392e+06
588,872344,880974,5.98402e+06
589,847875,892588,6.02665e+06
590,875142,865039,6.038e+06
591,863907,867384,6.00041e+06
592,879750,878228,6.00194e+06
593,870221,887002,6.08858e+06
594,881194,885819,6.0783e+06
595,881902,889471,6.09818e+06
596,885690,899346,6.11574e+06
597,906110,900485,6.1522e+06
598,888020,897246,6.1796e+06
599,922754,911960,6.18149e+06
600,902502,919229,6.19694e+06
601,914921,915387,6.23114e+06
602,917526,927381,6.28262e+06
603,918484,924477,6.30215e+06
604,926989,923815,6.2954e+06
605,938774,959187,6.3339e+06
606,941793,927199,6.35457e+06
607,963258,956281,6.33929e+06
608,932435,969400,6.41556e+06
609,957714,962331,6.44495e+06
610,966814,968687,6.47043e+06
611,975539,980370,6.50768e+06
612,938187,942942,6.45832e+06
613,949940,957693,6.43004e+06
614,954212,956831,6.45437e+06
615,965986,970158,6.51094e+06
616,996657,977424,6.49179e+06
617,961508,1.0062e+06,6.53626e+06
618,996132,1.00796e+06,6.5113e+06
619,1.02109e+06,988742,6.55948e+06
620,977273,1.02115e+06,6.64053e+06
621,1.00488e+06,998075,6.59365e+06
622,998179,991026,6.64149e+06
623,1.00084e+06,1.01916e+06,6.66919e+06
624,1.00559e+06,1.013e+06,6.70092e+06
625,1.0219e+06,1.02797e+06,6.72602e+06
626,1.01838e+06,1.00607e+06,6.75235e+06
627,1.03506e+06,1.01917e+06,6.74457e+06
628,1.02638e+06,1.011e+06,6.81144e+06
629,1.03894e+06,1.03914e+06,6.82097e+06
630,1.0217e+06,1.0384e+06,6.81987e+06
631,1.04356e+06,1.04863e+06,6.85166e+06
632,1.04591e+06,1.03741e+06,6.88635e+06
633,1.06601e+06,1.05829e+06,6.8783e+06
634,1.05593e+06,1.07333e+06,6.93798e+06
635,1.06779e+06,1.06139e+06,6.93655e+06
636,1.07845e+06,1.0625e+06,7.0373e+06
637,1.0668e+06,1.0978e+06,7.00488e+06
638,1.05704e+06,1.06711e+06,7.03313e+06
639,1.09103e+06,1.09312e+06,7.01838e+06
640,1.11943e+06,1.07282e+06,7.07872e+06
641,1.09026e+06,1.10027e+06,7.1279e+06
642,1.10041e+06,1.09248e+06,7.15138e+06
