n,single time,two time,four time,eight time,sixteen time,thirty two time
416,228494,250452,298263,493260,507323,527944,539985
417,222392,238623,251012,522238,527308,531757,558467
418,233154,241245,254640,521866,525294,536772,561931
419,228042,241086,254429,524428,544384,545760,570762
420,229123,248195,256519,513407,551446,537399,574934
421,252696,251935,258459,528860,534531,546257,553960
422,230833,248424,262649,534803,538896,554852,577615
423,235801,252252,264832,522707,536811,559205,574996
424,232759,251341,265366,544508,551409,558356,578845
425,241366,256884,265439,544242,577200,564117,586719
426,238175,254253,268173,554176,556405,573619,587178
427,252350,256602,272962,568396,540840,574110,592696
428,240181,257785,272236,559203,562032,571488,596221
429,250705,262128,274360,563835,570577,582319,605713
430,246394,291364,277504,549315,590472,591200,606423
431,250225,267360,277771,563524,587382,588156,602770
432,250864,266811,278949,555352,592212,592791,622072
433,258930,271103,281973,564526,599181,599074,625024
434,256894,271654,283139,597225,600050,596226,627597
435,254277,270534,285442,601909,591684,613584,627382
436,261446,275960,291391,614514,606653,617382,631195
437,259962,274881,291010,605513,610165,623637,643795
438,261780,280207,291836,571539,611935,623203,640564
439,274116,292090,298696,616589,604765,615792,653482
440,265799,279836,297697,627270,622188,630536,644803
441,273448,288872,298359,601772,616127,636885,658143
442,271705,288351,300477,612511,623297,639807,650031
443,271841,287902,304248,625962,635451,643778,660264
444,276925,299591,305150,609204,644488,648319,669154
445,278619,293600,311323,642964,629311,653823,665293
446,280633,298146,311863,631599,641591,657079,676700
447,282109,296939,311552,620079,641537,657231,674764
448,282535,302810,313544,639757,667633,660274,693946
449,287511,305234,316535,639897,647158,678674,689837
450,285030,304991,320006,679821,673524,685391,698971
451,284771,307587,320358,639827,671094,682938,698922
452,291285,310778,323777,650585,684020,673317,699454
453,294859,315266,330235,692996,691414,694399,720762
454,302769,314276,328216,678795,691683,685701,714050
455,299329,313771,331851,676073,686836,697742,717471
456,297737,316128,331995,688325,689505,702340,732616
457,301320,327655,334573,672665,706230,709109,736958
458,303653,326590,337058,722069,699159,715585,733189
459,305736,322540,343678,680860,708126,715919,735101
460,312090,326114,345330,708018,711292,732521,746534
461,310047,329459,343961,716652,706838,740374,752055
462,311139,331312,347269,724545,714440,727413,755059
463,312247,331395,350320,712697,734730,743690,764038
464,315475,334286,353148,724376,734201,749137,768386
465,319620,338479,353860,699890,747980,753413,770886
466,319010,338716,356955,717850,742276,755894,774790
467,322061,341937,361042,722532,741610,764683,766560
468,323317,347879,361387,728744,747369,751976,788384
469,326102,366403,365317,745537,763639,771468,796940
470,330328,350105,366220,750675,762962,779385,801931
471,332923,351736,393860,752918,763973,777954,800042
472,333059,352413,373723,743396,770146,778358,801994
473,335652,356291,375939,775485,758568,788771,811146
474,349440,360781,378974,768930,793270,804614,814699
475,344701,365075,379573,784066,774438,805831,811821
476,345805,367607,382998,806447,791381,805266,830803
477,347515,367676,390010,771522,784259,818085,810013
478,351965,370699,388237,779771,817368,815576,836936
479,353830,377214,391051,791023,810238,818528,837063
480,359774,384480,394358,793585,812055,839886,854766
481,360324,381145,398355,814862,825441,834766,852677
482,361033,397417,399299,826235,839676,828987,869689
